yyyy;mm;dd;sapf
2008;6;5;0.1298
2008;6;6;0.4848
2008;6;7;0.843
2008;6;8;0.4295
2008;6;9;0.4492
2008;6;10;0.6086
2008;6;11;0.4187
2008;6;12;0.5698
2008;6;13;0.6154
2008;6;14;0.9894
2008;6;15;0.9675
2008;6;16;0.3842
2008;6;17;0.628
2008;6;18;0.3228
2008;6;19;0.6419
2008;6;20;0.883
2008;6;21;0.4295
2008;6;22;0.5193
2008;6;23;0.8629
2008;6;24;0.3191
2008;6;25;0.5762
2008;6;26;0.1938
2008;6;27;0.1504
2008;6;28;0.7758
2008;6;29;1.1826
2008;6;30;0.4843
2008;7;1;NaN
2008;7;2;0.8313
2008;7;3;1.0523
2008;7;4;1.3502
2008;7;5;0.6822
2008;7;6;0.7998
2008;7;7;1.2987
2008;7;8;NaN
2008;7;9;0.4245
2008;7;10;NaN
2008;7;11;0.2162
2008;7;12;0.6968
2008;7;13;1.1993
2008;7;14;0.6056
2008;7;15;1.1106
2008;7;16;0.2875
2008;7;17;0.8845
2008;7;18;NaN
2008;7;19;0.8741
2008;7;20;0.909
2008;7;21;NaN
2008;7;22;0.1726
2008;7;23;0.7295
2008;7;24;0.8937
2008;7;25;0.8685
2008;7;26;1.2643
2008;7;27;0.7328
2008;7;28;0.8258
2008;7;29;0.99
2008;8;1;0.4522
2008;8;2;0.7894
2008;8;3;0.7042
2008;8;4;0.7212
2008;8;5;0.942
2008;8;6;0.7357
2008;8;7;0.7359
2008;8;8;NaN
2008;8;9;0.343
2008;8;10;0.3559
2008;8;11;0.9977
2008;8;12;0.3187
2008;8;13;0.5415
2008;8;14;0.2653
2008;8;15;0.5865
2008;8;16;0.9198
2008;8;17;0.9288
2008;8;18;0.3034
2008;8;19;NaN
2008;8;20;0.1827
2008;8;21;0.1975
2008;8;22;0.2122
2008;8;23;0.1342
2008;8;24;0.2358
2008;8;25;0.249
2008;8;26;0.321
2008;8;27;0.3657
2008;8;28;0.4676
2008;8;29;0.585
2008;8;30;0.2938
2008;8;31;0.4524
2008;9;1;0.3666
2008;9;2;0.5211
2008;9;3;NaN
2008;9;4;0.1565
2008;9;5;0.3822
2008;9;6;0.6675
2008;9;7;0.8059
2008;9;8;0.7791
2008;9;9;0.8338
2008;9;10;0.6162
2008;9;11;0.5079
2008;9;12;0.5825
2008;9;13;0.377
2008;9;14;0.1973
2008;9;15;0.2038
2008;9;16;0.1962
2008;9;17;0.0942
2008;9;18;0.1563
2008;9;19;0.2591
2008;9;20;0.1365
2008;9;21;0.1852
2008;9;22;0.0695
2008;9;23;0.3158
2008;9;24;0.3297
2008;9;25;0.6386
2008;9;26;0.4231
2008;9;27;0.1088
2008;9;28;0.1852
2009;6;19;0.7964
2009;6;20;0.8693
2009;6;21;1.2008
2009;6;22;1.7364
2009;6;23;1.541
2009;6;24;1.4977
2009;6;25;1.2531
2009;6;26;0.8718
2009;6;27;1.2503
2009;6;28;1.4482
2009;6;29;1.799
2009;6;30;1.6146
2009;7;1;1.2046
2009;7;2;1.227
2009;7;3;1.7516
2009;7;4;1.1446
2009;7;5;1.6529
2009;7;6;1.1958
2009;7;7;0.8761
2009;7;8;1.0887
2009;7;9;1.5543
2009;7;10;1.4252
2009;7;11;1.2123
2009;7;12;1.1618
2009;7;13;1.0159
2009;7;14;0.9934
2009;7;15;1.265
2009;7;16;0.9019
2009;7;17;1.0511
2009;7;18;1.3235
2009;7;19;1.464
2009;7;20;1.3454
2009;7;21;1.1309
2009;7;22;1.2029
2009;7;23;1.0964
2009;7;24;1.1908
2009;7;25;0.6238
2009;7;26;1.1441
2009;7;27;0.8969
2009;7;28;1.3134
2009;7;29;1.0965
2009;7;30;0.86
2009;7;31;0.7184
2009;8;1;0.8593
2009;8;2;1.2269
2009;8;3;0.6763
2009;8;4;1.1356
2009;8;5;1.4292
2009;8;6;1.1823
2009;8;7;0.8181
2009;8;8;0.8479
2011;6;27;0.3753
2011;6;28;0.6392
2011;6;29;0.9337
2011;6;30;1.1127
2011;7;1;0.2475
2011;7;2;0.4607
2011;7;3;1.4165
2011;7;4;0.8064
2011;7;5;0.6676
2011;7;6;0.8242
2011;7;7;0.9335
2011;7;8;0.772
2011;7;9;0.8547
2011;7;10;0.8023
2011;7;11;0.7296
2011;7;12;0.6975
2011;7;13;0.8937
2011;7;14;1.0119
2011;7;15;0.7551
2011;7;16;0.8758
2011;7;17;0.7124
2011;7;18;0.5977
2011;7;19;0.8351
2011;7;20;0.7859
2011;7;21;0.7147
2011;7;22;0.4301
2011;7;23;0.2354
2011;7;24;0.7411
2011;7;25;0.6767
2011;7;26;0.9025
2011;7;27;0.7744
2011;7;28;0.626
2011;7;29;0.9717
2011;7;30;0.8616
2011;7;31;1.1741
2011;8;1;1.0192
2011;8;2;0.9647
2011;8;3;0.7009
2011;8;4;1.2751
2011;8;5;0.9918
2011;8;6;0.8528
2011;8;7;0.3488
2011;8;8;0.6157
2011;8;9;0.2096
2011;8;10;0.3635
2011;8;11;0.9857
2011;8;12;0.9581
2011;8;13;1.147
2011;8;14;0.9257
2011;8;15;0.8158
2011;8;16;0.6566
2011;8;17;0.6039
2011;8;18;0.1115
2011;8;19;0.567
2011;8;20;0.757
