OmaTunniste;OmaItä;OmaPohjoinen;Kunta;siteid;aika;vuosi;kk;paiva;longitude;latitude;t_mean;t_max;t_min;rainfall;radiation;hpa;lamposumma_v;rainfall_v
101;;;Rovaniemi;2917;19610101;1961;1;1;3485000;7375000;-6.5;-4.8;-7.8;2.0;10;-999.00;0.00;2.0
101;;;Rovaniemi;2917;19610102;1961;1;2;3485000;7375000;-5.7;-4.9;-7.2;3.0;2;3.67;0.00;5.0
101;;;Rovaniemi;2917;19610103;1961;1;3;3485000;7375000;-4.1;-3.0;-6.0;1.0;15;4.10;0.00;6.0
101;;;Rovaniemi;2917;19610104;1961;1;4;3485000;7375000;-4.0;-2.0;-5.5;0.0;16;4.33;0.00;6.0
101;;;Rovaniemi;2917;19610105;1961;1;5;3485000;7375000;-4.1;-3.0;-5.3;4.0;17;4.32;0.00;10.0
101;;;Rovaniemi;2917;19610106;1961;1;6;3485000;7375000;-7.3;0.0;-9.9;0.0;15;3.74;0.00;10.0
101;;;Rovaniemi;2917;19610107;1961;1;7;3485000;7375000;-12.1;-9.8;-17.0;0.0;24;2.06;0.00;10.0
101;;;Rovaniemi;2917;19610108;1961;1;8;3485000;7375000;-9.2;-7.2;-14.9;0.0;20;2.80;0.00;10.0
101;;;Rovaniemi;2917;19610109;1961;1;9;3485000;7375000;-8.2;-6.1;-10.4;0.0;26;2.93;0.00;10.0
101;;;Rovaniemi;2917;19610110;1961;1;10;3485000;7375000;-9.3;-8.0;-12.9;0.0;50;2.77;0.00;10.0
101;;;Rovaniemi;2917;19610111;1961;1;11;3485000;7375000;-8.4;-6.5;-10.4;4.0;62;3.17;0.00;14.0
101;;;Rovaniemi;2917;19610112;1961;1;12;3485000;7375000;-10.7;-6.4;-12.6;0.0;61;2.38;0.00;14.0
101;;;Rovaniemi;2917;19610113;1961;1;13;3485000;7375000;-10.5;-9.9;-12.8;1.0;81;2.48;0.00;15.0
101;;;Rovaniemi;2917;19610114;1961;1;14;3485000;7375000;-9.6;-7.7;-11.5;1.0;95;2.55;0.00;16.0
101;;;Rovaniemi;2917;19610115;1961;1;15;3485000;7375000;-13.5;-8.6;-13.1;0.0;130;2.26;0.00;16.0
101;;;Rovaniemi;2917;19610116;1961;1;16;3485000;7375000;-20.6;-12.4;-28.9;0.0;167;1.05;0.00;16.0
101;;;Rovaniemi;2917;19610117;1961;1;17;3485000;7375000;-10.4;-4.8;-25.6;0.0;151;2.88;0.00;16.0
101;;;Rovaniemi;2917;19610118;1961;1;18;3485000;7375000;-4.0;-2.8;-4.7;0.0;162;4.51;0.00;16.0
101;;;Rovaniemi;2917;19610119;1961;1;19;3485000;7375000;-4.2;-3.1;-5.0;0.0;180;4.30;0.00;16.0
101;;;Rovaniemi;2917;19610120;1961;1;20;3485000;7375000;-5.2;-3.4;-5.4;0.0;196;3.96;0.00;16.0
101;;;Rovaniemi;2917;19610121;1961;1;21;3485000;7375000;-8.1;-5.6;-13.0;0.0;237;3.03;0.00;16.0
101;;;Rovaniemi;2917;19610122;1961;1;22;3485000;7375000;-8.9;-8.6;-10.1;0.0;247;2.71;0.00;16.0
101;;;Rovaniemi;2917;19610123;1961;1;23;3485000;7375000;-10.1;-5.3;-13.0;0.0;453;2.71;0.00;16.0
101;;;Rovaniemi;2917;19610124;1961;1;24;3485000;7375000;-14.2;-10.9;-17.9;0.0;410;1.79;0.00;16.0
101;;;Rovaniemi;2917;19610125;1961;1;25;3485000;7375000;-14.4;-9.3;-22.1;0.0;477;2.08;0.00;16.0
101;;;Rovaniemi;2917;19610126;1961;1;26;3485000;7375000;-14.6;-8.2;-17.2;0.0;534;2.43;0.00;16.0
101;;;Rovaniemi;2917;19610127;1961;1;27;3485000;7375000;-13.7;-10.1;-24.1;0.0;477;1.94;0.00;16.0
101;;;Rovaniemi;2917;19610128;1961;1;28;3485000;7375000;-7.0;-6.1;-12.2;3.0;430;3.20;0.00;19.0
101;;;Rovaniemi;2917;19610129;1961;1;29;3485000;7375000;-4.9;-1.1;-7.1;2.0;586;4.15;0.00;21.0
101;;;Rovaniemi;2917;19610130;1961;1;30;3485000;7375000;-8.8;-6.4;-10.0;2.0;509;2.84;0.00;23.0
101;;;Rovaniemi;2917;19610131;1961;1;31;3485000;7375000;-11.3;-8.8;-12.4;0.0;581;2.27;0.00;23.0
101;;;Rovaniemi;2917;19610201;1961;2;1;3485000;7375000;-14.3;-11.9;-17.6;0.0;631;1.70;0.00;23.0
101;;;Rovaniemi;2917;19610202;1961;2;2;3485000;7375000;-13.4;-12.1;-19.5;1.0;669;1.92;0.00;24.0
101;;;Rovaniemi;2917;19610203;1961;2;3;3485000;7375000;-11.6;-9.8;-13.6;0.0;788;2.27;0.00;24.0
101;;;Rovaniemi;2917;19610204;1961;2;4;3485000;7375000;-14.3;-9.8;-17.3;0.0;852;1.89;0.00;24.0
101;;;Rovaniemi;2917;19610205;1961;2;5;3485000;7375000;-18.7;-14.8;-20.6;0.0;1140;1.30;0.00;24.0
101;;;Rovaniemi;2917;19610206;1961;2;6;3485000;7375000;-20.3;-18.4;-28.4;2.0;1185;0.75;0.00;26.0
101;;;Rovaniemi;2917;19610207;1961;2;7;3485000;7375000;-7.8;-1.8;-24.4;5.0;663;3.48;0.00;31.0
101;;;Rovaniemi;2917;19610208;1961;2;8;3485000;7375000;-3.4;-0.8;-5.5;5.0;835;4.56;0.00;36.0
101;;;Rovaniemi;2917;19610209;1961;2;9;3485000;7375000;-7.3;-3.8;-9.2;0.0;1399;3.10;0.00;36.0
101;;;Rovaniemi;2917;19610210;1961;2;10;3485000;7375000;-8.0;-6.6;-13.8;0.0;979;2.94;0.00;36.0
101;;;Rovaniemi;2917;19610211;1961;2;11;3485000;7375000;-6.5;-6.0;-7.8;1.0;981;3.31;0.00;37.0
